number,reason
5.0,bo jest tak pomiędzy 0 a 10
10.0,Sprawdziłem jaki jest najbardziej uśredniony wynik
1.0,"Uznałem, że najbezpieczniej będzie podać małą liczbę tak aby mieć większą szansę na to że liczba S spadnie do zera lub mniej co by skutkowało stratą punktów, lub wyjściem na minus"
25.0,"nie biorąc pod uwagę strategii innych graczy najwięcej co mogę zrobić, to maksymalizować wartość wyrażenia x_1(50-x_1), co dzieje się gdy x_1=25"
5.0,"Zakładając, że wszyscy gracze grają uczciwie i logicznie, taka liczba pozwoli na osiągnięcie przez każdego z graczy najwyższego wyniku"
-1.0,"Zgaduje ze każda osoba da ponad 10, i mam nadzieje ze suma po odjęciu bedzie ujemną. Wtedy jako jedyna bede miała dodatnia liczbę"
14.0,"jest to liczba na tyle mala, ze różnica nie bedzie ujemna, a iloczyn bedzie duży"
0.0,"0 daje mi gwarancję, że moja SUMA to 0, jest to jedyna opcja, w której na wynik nie mają wpływu inni, a jest bardzo duża szansa, że wynik odejmowania będzie ujemny a wszystkie liczby innych graczy dodatnie, czyli ja wygrywam. W szczególności, jeżeli można podawać tylko liczby naturalne :)"
0.0,"Ponieważ zakładam że wszyscy podadzą wysokie liczby gdzie wartosc odejmowania wyjdzie ujemna, co sprawia ze wyniki iloczynów wyjdą też ujemne a moja wartość wyniesie 0."
-2.0,Liczę na to że większość da dodatnie i wtedy mam raczej winka bo większość da wieksze liczby z zalozeniem że będą tylko dodatnie. Dodatkowo -2 żeby mieć więcej od tych co dadzą -1 xd
8.33,równowaga nasha
5.0,Maksymalizuje wynik przy racjonalnych przeciwnikach
10.0,Duzy mnoznik i w miare malo zmniejszona od 5
5.0,"gdy wszyscy wybiorą taką liczbę to suma będzie względnie duża, a ponadto twój wynik będzie względnie wysoki"
0.0,"Zakładam że gracze nie wdrażają strategii. Że działają Zgodnie z teorią gier. Jeżeli wybiorą z przedziału od -1 do -nieskończoności to S będzie dodatnie, a następnie przemrożone przez ich ujemną liczbę - wynik każdego gracza mniejszy od zera Jeżeli wybiorą dodatnią od 51 do nieskończoności to S będzie ujemne, czyli wynik każdego gracza mniejszy od zero Wybierając x=0 zawsze będziemy mieli wynik 0, bez względu na chciwość innych graczy. Więcej niż ujemne"
8.0,"Wydaje mi się, że to taka nie za duża (żeby S nie było ujemne) i nie za mała liczba (żeby S było pomnożone jak najwięcej razy)."
6.2001,Ponieważ wszyscy dadzą powyżej 11 raczej
5.0,"
Jeśli wszyscy podadzą taką samą liczbę, czyli 5, to powinien wyjść najwyższy wynik (25x25)."
10.0,"Zakładając że jak każdy wybierze 10, to nikt nic nie dostanie. Jeśli wybiorę mnie to mogę nie zyskać, jeśli więcej to mogę stracić (reszta 10). Rozumuję że danie poniżej 10 jest nie optymalne. Danie 10 jest pewnie najlepszą strategią nie znając wyboru innych."
7.0,"bo ludzie są zachłanni, więc ktoś weźmie prawdopodobnie dużą liczbę licząc, że inni zfoldują, rozsądni podadzą ~10, więc prawdopodobnie będzie S ujemne, więc daję stosunkowo małą liczbę by mało wyjść na minus, ale na tyle dużą, by S było faktycznie ujemne"
10.0,"Włożyłem do desmosa wszystkie dane i zmienne, lecz było za dużo zmiennych i założyłem że wszystkie pozostałe osoby dadzą tą samą liczbę i wyszło że zawsze będę mieć najwyższą liczbę dając 10
"
5.0,"Optymistycznie, choć być może złudnie zakładam, że pozostałe 4 osoby także wybiorą liczbę 5. Gdy wszystkie osoby wybiorą tą samą liczbę, S = 50-5x i wynik = x(50-5x). x(50-5x) przyjmuje wartość największą dla x = 5."
-1.0,"Jest bardzo duża szansa, że suma liczb podanych przez pozostałe 4 osoby będzie większa niż 50. Wtedy podanie dodatniej liczby pozostawi wynik ujemny. Można by było kombinować z dobraniem tej liczby ujemnej ale nie mamy informacji o rozkładzie albo czy inne osoby też grają optymalnie."
10.0,"Zacznijmy od tego, że biorąc 4 losowe osoby i pytając o dowolną liczbę jest małe prawdopodobieństwo na to, że akurat wskażą liczbę ujemną, tym bardziej niecałkowitą. Również wiele osób oprze swoje wyniki o liczby nie większe niż 50 ale większe od zera, ponieważ nie chcą aby wynik był ujemny. Pierwszy naturalnym instynktem ludzkim będzie współpraca w rywalizacji polegająca na nie braniu liczb większych od 10, by wynik nie spadł poniżej zera (Bo wtedy czym większą liczbę dodatnią wybrałeś tym mniejszą uzyskujesz ostatecznie). Dlatego kluczem jest założenie najbardziej prawdopodobnego scenariusza, gdzie każdy początkowo myślał o 7, ale stwierdził, że inni też tak pomyślą i dadzą lekko wyższą. Czemu akurat 7? Ponieważ wydaje się dość dużym mnożnikiem końcowym, i zapewnia to że różnica liczb nie spada poniżej zera. Druga sprawa to, że liczba 7 jest szeroko zakorzeniona w naszej kulturze i kojarzy się pozytywnie z szczęściem. Dlatego na wszelki wypadek wybieram liczbę 10, gdyby jednak inni uznali, że 50/5 = 10, więc dla nich taka liczba będzie idealna, wtedy doszłoby do remisu, a to lepsze niż przegrana. Liczby większe od 10 są ryzykowne, gdy rozpatrujemy to nie znając charakterów swoich przeciwników. Nie ma sensu ryzykować, bo zapewne i tak dadzą 7,8,9,10."
25.0,"statystyczny rozkład jest ~0, więc S~=50-0-25, a nikomu się nie opłąca dawać liczby o dużym module be statystycznie przegra więc odchylenia będą małe, więc zwykle powinna być dodatnie, ale gdybym dał liczbę bliżej 50 to byłaby większa szansa że S będzie ujemne, a gdybym dał liczbę bliżej 0 to byłaby większa szansa, że ktoś dał większe x, więc miał większe xS przy S>0"
10.0,"gdy wszyscy damy 10 to będzie 0 to da remis
gdy wszyscy dadzą ponad 10 to ja najmniej mnożę ujemną czyli mam najwięcej
gdy wszyscy dadzą poniżej 10 to mam największy mnożnik
gdy wyniki są mieszane to wszyscy mamy tak samo małe szanse a zakładam że wszyscy będą celować w danie czegoś poniżej 10 bo nie będą chcieli zejść do liczb ujemnych"
8.0,"Załóżmy, że każda osoba wybiera strategię losującą odpowiedź o EV (Wartości oczekiwanej) równej x. Bez straty ogólności, jeżeli ktoś nie losuje to można założyć że też losuje (z szansą 1 dla danej liczby). Wówczas dla każdego gracza wynik to evS * x = (50-5x)*x. Co więcej, jeżeli evS>x, to każdy gracz będzie skłonny zwiększyć swoją liczbę - nawet, jeżeli zakładając, że po zwiększeniu innych graczy wynik spadnie, a po tylko i wyłącznie własnym zwiększeniu wynik nie spadnie, optymalnie jest zwiększyć - tak jak w ""dylemacie więźnia"". Analogicznie dla evS<x. Jedyną ""stabilną"" sytuacją jest więc evS=x, które jest jedyną równowagą Nasha - i jedyną sytuacją, gdzie gracze zdecydują się skończyć zmieniać wyniki. W innej sytuacji x będzie oscylować wokół evS=x. Właściwy x można więc obliczyć: evS=x, (50-5x)=x, 50-5x=x, 50=6x, x=50/6 = 8+2/6=8+1/3. Optymalne jest więc wybrać dowolne losowanie, które ma EV = 8+1/3, ja decyduję się wybrać losową liczbe z ciągu (9, 8, 8), zakładając, że inni gracze grają optymalnie (Jest to serwer MIKO więc mogę to założyć). Wylosowałem liczbę 8."
7.0,Zakladajajac ze wszystkie wartosci sa te same mozemy zauwazyc ze najbardziej optymalne byloby 5. majac nadzieje ze przeciwnicy rowniez to zauwazyli uznaje ze wynik bedzie wystarczajaco duzy zeby pomnozenie go przez 7 dawalo liczbe wieksza niz pomnozenie go przez 5 i dodanie 10
-2.0,"Jeśli suma spadnie poniżej zera to mój wynik jest dodatni. Nie chcę dawać zbyt ujemnej liczby ponieważ może ona spowodować dodatnią sumę ale chcę potencjalnie wygrać z wyborem -1. Alternatywą byłoby coś z przedziału dodatniego ale jeśli inni zawodnicy też maksymalizują wynik to raczej skłonią się ku większym liczbom (aby wynik był wyższy), co może łatwo spowodować ujemną sumę. Wybranie niskiej liczby, aby utrzymać wyższą sumę może dać niższy wynik niż inni gracze. Liczba ujemna może nie być aż tak brana pod uwagę (chociaż może się mylę)."
-5.0,"Zakładam, że spośród dużej ilości osób biorących udział w badaniu, jest spora szansa na to że ludzie powpisują jakiekolwiek liczby dodatnie albo jakieś memiczne liczby pokroju 2137, 420 itp. i przez to wynik działania odejmowania będzie ujemny. Wobec tego po mnożeniu mój wynik powinien wyjść dodatni."
10.0,"troche nie chce mi sie tego rozpisywac ale no moja liczba musi byc najwieksza, jak S bedzie ujemne to niefajnie, wiec chce aby bylo dodatnie ale tez bezpiecznie zeby bylo. jak ktos poda liczbe <=9 to prawdopobioienstwo ze S ujemne maleje, a ja mam wieksza liczbne wiec git, a jak >=11 to prawdopodobientwo ze S ujemne rosnie, wiec ja bym wygral"
5.0,Bo kazda wieksza maksymalizuje szanse na przegrana
5.0,"Wybrałam 5, ponieważ przy założeniu, że każdy z nas wybierze tę samą liczbę, wszyscy otrzymamy najbardziej optymalny wynik. Może zdarzyć się tak, że ktoś weźmie liczbę mniejszą od 5, a ktoś inny liczbę trochę większą od 5, ale wtedy średnia suma odejmowanych liczb pozostanie w przybliżeniu taka sama. Pomysł ten nie sprawdzi się, gdy jedna (lub kilka) osób wybierze liczbę znacznie większą od 5, jednak zakładam, że z uwagi na ryzyko takiego postępowania, większość osób nie zdecyduje się na ten ruch."
8.33,Bo maksymalizuje iloczyn
5.0,"chce uzyskać możliwie jak najmniejsza liczbę po odjęciu sumy, a im wyższa liczbę pomnożymy przez moja liczbę tym lepiej? :) ps. głowa mi się spociła od myślenia "
8.333333333333332,Matematyka.
8.0,"Nie za dużo odejmuje, ale jak mnożysz, to wtedy jest dużo na +"
-20.0,"Zakładam, że inni podadzą liczby które zsumowane będą większe od 70, wtedy ujemna razy ujemna da dodatnia, może nikt inny nie da liczby ujemnej"
-2.0,"Większość osób poda dosyć wysoką liczbę zapewne większą niż 12, lub chociaż jedna osoba da bardzo wysoką, S będzie na minusie przez co tylko x minusowe będą miały wynik na plusie, aby uniknąć że ktoś inny poda -1 wpisuje -2."
9.0,"jak wynik odejmowania bedzie ujemne to lepiej miec liczbe najmniejsza, a jak bedzie dodatnie to najwieksza. ale tez 50/5=10, wiec optymalna liczba od 5 do 14"
-1e-05,"the optimal choice boils down to estimating if 50-x₂-...-x₅ > 0 or not I imagine most participants will go with the intuitive choice of picking something between 5-10, let's say 3 of them. If all persons were like this (average), the best choice would be somewhere in the upper range of this, e.g. 7-10 But then there is a good chance of encountering someone bullish that selects more than 10 And if this makes 50-x₂-...-x₅ < 0, my best strategy is to go with an extremely small number like -0.00001 to flip my score positive (or -1 if only integers are allowed). So I guess I would try to read who my co-participants are, and if - they are mostly girls or look calm & reasonable, I would aim for 9 - if all guys and some of them is suspisious, I would go with -0.00001 If I cannot read the backgrounds and I have to play many times with random people, I would choose something in the middle, like 5 (if people all people are good I'm okay to take a mediocre place, but most often there will likely be a bully in which case SUM < 0 and the one selecting the lowest coeff wins)"
-1.0,Jesli ludzie sa odpowiednio chciwi (a są) to S wyjdzie ujemne więc wtedy wynik dodatni
-1.0,"Jeśli reszta graczy poda liczby, których suma przekroczy 51, oraz nikt nie da mniej niż -1 to jako jedyni będziemy mieli dodatni wynik. Zmniejszenie x_1 do np. -100 poskutkuje zwiększeniem minimalnej sumy reszty liczb do 150, co jest mniej prawdopodobne do przekroczenia."
10.0,"Proszę o usunięcie poprzedniej odpowiedzi, myślałem, że to łącznie 4 osoby grają. Tak więc: 50/5, ciąg logiczny analogiczny - jak dam więcej, to mogę mieć ujemny wyniki w rundzie, który będzie najmniejszy. Jak dam mniej, daję innym przestrzeń do zysku większego niż mój"
5.0,5 jest liczbą równoważną ani nie minimalizuje mojej straty ani nie maksymalizuje zysku
5.0,ahhh piekny umysl i Nash...
8.0,Ponieważ przy racjonalnych wyborach graczy jest to najlepsza opcja do maksymalizacji wyniku
5.0,Jeśli wszyscy gracze zrobili by ta strategie to wynik byłby największy (zakładając że liczby mają być od 0 do 50)
15.0,"Wziąłem pod uwagę tylko sytuacje, gdzie mam szansę na najwyższy wynik(średni wybór przeciwników 1-8). Myślę, że przeciwnicy nie mają tendencji do wybierania ""1"", więc średni najlepszy wybór to będzie 15."
5.0,Domyślam się że każdy rzuci się na jak największe liczby chcąc zdobyć jak największy wynik. Liczba S może osiągnąć wartość poniżej 0. To może być niebezpieczne. Jeżeli jest pięciu graczy 50:5=10 celowałbym w liczbę od 0-10. Oczywiście w pierwszej rundzie trudno przewidzieć zachowanie przeciwników.
10.0,Statystycznie będzie git
10.0,Bo 50 podzielone na 5 jest rowne 10
10.0,"Maksymalny wynik uzyskamy jeżeli każdy poda 5 ale pewnie tak nie będzie. Jeżeli suma podanych przez nas liczb przekroczy 50 to wygrywa ten który podał najmniejszą liczbę, ale żeby tak było to przynajmniej jedna liczba musi być większa niż 10, więc napewno nie będę ostatni. Jeżeli suma podanych przez nas liczb nie przekroczy 50 to wygrywa ten który podał największą liczbę, ale żeby tak było to przynajmniej jedna z podanych liczb musi być mniejsza niż 10, zatem napewno nie będę ostatni. Jeżeli każdy poda 10 to będzie remis czyli z tego co rozumiem każdy wygrywa"
5.0,"Jesli wybiore duza liczbe ryzykuje wynik ujemny - wysoka strata, jesli wybiore 5 a inni losowo wybiora male liczby to mam super mnoznik. Kazdy w grze chce otrzymac duzy wynik, wiec jest szansa na szczescie."
8.33,Jesli każdy da 8.33 to jesteśmy w równowadze nasha
8.0,"im większą wybiorę liczbę, tym większy mnożnik, ale nie biorę 9, żeby nie być zbyt chciwym"
8.0,Najbliżej równowagi
5.0,"Założyłem, że wszyscy gracze są racjonalni i mają ten sam cel, więc każdy wybierze tę samą liczbę."
9.0,"Zakładam że każdy zostanie w zakresie od 1-10 aby nie sprawic że liczba będzie ujemna, raczej inni (jeśli też będą chcieli maksymalizować wynik) wybiorą 8 albo 9, może niektórzy 10. Jeśli trafi się jakiś wariat który wybierze np 100 to i tak nie ma znaczenia bo jakaz jest różnica między -400 a -450 (oczywiście 50 ale w procentach to mała różnica), jeśli wariat się nie trafi i nie zejdziemy na minus to liczba jaką wybieram ma znaczenie. Założenie że wartością średnio wybierana przez ludzi będzie 5 jest nie mądre ponieważ inni też będą chcieli maksymalizować wynik, wiec wybiorą liczbę z zakresu 8-10. Moje rozważanie jest pomiędzy 8 a 9, biorę większe ryzyko (9), bo nie chce mi się myśleć o nie liczbach naturalnych."
10.0,"Jeżeli średnio każdy da więcej niż 10 to nie będę mieć ostatniego miejsca, a jeśli inni się wystraszą i dadza mniej niz 10 by nie był wynik ujemny to będę mieć najwyższy wynik dodatni"
11.0,"Jeżeli wszyscy uczestnicy podali by taką samą najbardziej optymalną dla ""ogółu"" liczbę to była by to piątka 5*(50-5*5)= 125. Myślę, że jednak część osób byłaby bardziej zachłanna i podała by liczbę trochę większą. Zakładam, że łącznie suma podanych liczb przez pozostałą czwórkę zwiększyła by się pewnie o dodatkowe 5 (kilka szóstek i kilka siódemek do 25). Wtedy dla mnie najlepsza była by 12 ( 12*(50-25-12)=156 ). Dla bezpieczeństwa wziąłbym jednak 11 (maksymalizuje mój wynik przy sumie innych do 27). Natomiast jeśli eksperyment byłby wielorazowy, a członkowie mogli by wybierać siebie nawzajem, wybierałbym cały czas 5. Polecam autorowi, bądź autorce zajrzeć do książki Axelroda o podobnej tematyce ""The Evolution od cooperation"", myślę że może być interesująca, oraz do filmiki na youtubie veritasium. https://youtu.be/mScpHTIi-kM?si=hUDIZDkcGgQP79-g"
0.0,Fifty-fifty czy liczba S dodatnia czy ujemna
10.0,"Lubię 10, nikt nie da nic dużego bo ryzyko wyzerowania więc ja mogę"
0.0,"Inni gracze mogą podawać bardzo duże liczby i wtedy S może zrobić się ujemne. W opisie gry brak informacji jaką liczbę można wybrać - dowolną rzeczywistą, czy tylko nieujemną...?"
15.0,"Jeśli podawanie liczby odbywa się w jakiejś określonej kolejności to w zależności w którym momencie bym się znajdował musiałbym oszacować co reszta uczestników by podała, i wziąć pod uwagę to co zostało podane, natomiast, jeśli wszyscy uczestnicy podają liczbę jednoczenie to wybrałbym liczbę 15, ponieważ jeśli wynik końcowy zostałby dodatni otrzymałbym na pewno dosyć spory wynik co pozwoliłoby mi wygrać, natomiast jeśli wynik byłby na minusie, po przemnożeniu przez moją liczbę byłby jednym z tych który nie spowodował by zajęcia jednego z ostatnich miejsc. "
-1.0,"pewnie ci inni ludzie dadza dużą liczbę, żeby wygrać. strzelam ze zejdzie ona poniżej zera. wtedy mój mnożnik będzie np -1*-10. przez to ja dając najmniejszą liczbę na minusie będę mieć więcej niżeli ktokolwiek kto dał liczbę dodatnia. gorzej jeżeli dadzą małe liczy"
5.0,jezeli pozostale osoby podadza rowniez cztery to wynik bedzie wysok
-2.0,"Moim zdaniem osoby chcące zmaksymalizować swój wynik podadzą jak największy wynik, co przełoży się na ostatecznie ujemną różnicę. W tym przypadku najbardziej opłacalną opcją będzie wybranie ujemnej liczby bo pomnożenie ujemnego wyniku z moją ujemną liczbą, da mi największy wynik."
7.0,"Coś o strategii remisowej gdy kazdy daje 10, rezerwa na osobę która da 20 i bez proboemu gdy wszyscy dadzą cyfry, nie ma jednoznacznegk wzorka bo zależy z kim grasz"
9.0,ponieważ wyjdzie najwyższy wynik jeśli każdy z 5 osób poda 5
1.0,Jeżeli S będzie ujemne będę miał najmnjej ujemną liczbę
11.1,"Spodziewam się, że większość ludzi zagra bezpiecznie w zakresie 1-9, aby nie uzyskać ujemnego S. Bedą spodziewać się tego samego od innych ludzi. Przy dodatnim S muszę mieć najwyższą liczbę ze wszystkich graczy. Moge mieć conajwyzej tyle marginesu powyżej 10 ile spodziewam sie marginesu zostawionego przez resztę graczy. W grupie oczywiście moze sie trafić taki sam cwaniak jak ja, stąd wartość po przecinku, żeby go wyprzedzić."
1.0,Nie ma takiej liczby która dawała by za każdym razem wynik wyższy od innych po pomnożeniu przez S jedyne na co można liczyć to że inni uczestnicy gry dadzą numery z tym samym symbolem i większą wartością od 10 wtedy 1 zawsze wygrywa co za tym idzie wydaje się to najlepsza opcja nie znając wyboru innych graczy
5.0,tak mi wyszlo po wyliczeniu rownowagi nasha i zalozeniu ze wszyscy tez jej uzywaja.
9.0,"Zakładając, że pozostali uczestnicy podawali cyfry od 1-8 to mój wynik będzie najwyższy."
9.0,No ogółem z tego co mi się wydaję ludzię zazwyczaj myślą o liczbie 7 najpierw więc podam 9 bo 50-4*7=32 32-9=23 23*9 > 23* 7. I to tyle chyba
5.0,"Zakładam, że inne osoby będą chciały współpracować w celu uzyskania jak najwyższego, sprawiedliwego wyniku i wszyscy odpowiedzą 5"
-5.0,"Liczę na to że pozostali uczestnicy chcąc zdobyć jak najwięcej punktów wybiorą takie liczby aby w 4 osoby przekroczyć sumę 55 punktów, co da ujemny wynik, który pomnożony przez moje -5 da dodatni wynik, który może być nawet spory zależnie od innnych graczy."
10.0,"Liczba 10 daje szansę na maksymalny wynik, oczywiście przy założeniu, że wszyscy pozostali nie zrobią tego samego"
11.0,"Mam nadzieje, że liczba nie wyjdzie poza 50. Nie daje -1, bo ograniczam się do liniowej funkcji uzyskania puntków."
8.0,"jest to liczba w miare środku bezpiecznego gdzie gracze nawet po zagraniu np.10 czy 11 zabiorą sobie więcej niż mi, a ci co bezpiecznie zagraja 1 czy 2 nie przebują mojego progu punktowego"
4.0,"Chce podać jak najmniejszą liczbę, żeby jak najmniej stracić przy odejmowaniu. Z drugiej strony chciałbym dużą liczbę, żeby zyskać przy mnożeniu. Stwierdziłem, że ludzie grający w tą grę też będą chcieli maksymalizować swoje liczby i pójdą podobnym tokiem myślenia. Dlatego muszę wybrać małą liczbę, żeby mało odjąć od początkowej. Ta liczba nie może być też zbyt mała, większa niż przeciętny wybór (żeby wygrać i mieć więcej niż przeciwnicy) dlatego postawiłem na 4."
9.0,"Jest na tyle mała, że raczej nie zejdziemy do wyniku mniejszego niż 1 (zakładając że inni też nie dadzą zbyt dużych liczb) a jednocześnie nie jest najmniejsza więc końcowy iloczyn będzie większy"
0.0,Podanie zera o ile jest to legalna zapewnia 0ptk mam rozumieć ze wszyscy znają zasady gry wiec będą chcieli wynik jak najbardziej obniżyć wiec 0 daje 0 zawsze rozwazanie liczby ujemnej ma sens o ile wszyscy rzucamy liczby w tym samym momencie wtedy gracze nie mogą wyliczać wyniku na bieżąco i podać liczbę zaniżającają moj stan ptk
