number,reason
-1,"Probably the other people will choose a large number to win. I guess it will go below zero. Then my multiplier would be, for example, -1*-10. By giving the smallest negative number, I will have more than anyone who gave a positive number. It’s worse if they give small numbers."
10,"I assume that all participants’ numbers will be around 10, because everyone will assume that with such values we approach zero or negative values. If that happens, no one will achieve a higher score. If everyone gives more than 10, I will have the best outcome."
5,"I want to get the smallest possible number after subtracting the sum, and the higher the number we multiply by my number, the better. My head is spinning from thinking about it."
9,Because it will give the highest result if each of the 5 players chooses 5.
5,"If the other players also choose four, the result will still be high."
5,"I assume that other players will want to cooperate to achieve the highest fair result, and everyone will answer with 5."
9,"I chose 9 because the other players also want to get the maximum result. If everyone chose a number greater than 9, the sum would be 0 or negative, which is not the goal. At the same time, multiplying at the end by my number should make it as large as possible, so 9 seems like the optimal solution."
1,"I assume that the other four players will want to give the highest numbers so that later they have a higher multiplication factor. So there is a risk that the subtraction result will be less than zero. Then multiplying by 1 will give the highest possible outcome. PS. I think that if there were a range of allowed numbers, the decision would be easier and the risk smaller, so less adrenaline ;)"
10,"Initially I considered giving a large number. I thought about choosing 25 to be in the middle, the optimal point when calculating results regardless of the final sum S. However, with four other players, 25 plus the sum of other players’ numbers could easily exceed 50. If the sum of the five chosen numbers exceeds 50, we enter negative numbers, and the person who chose the smallest number wins. Therefore, it is better to avoid higher numbers, but if it happens, I want to be in a better position. Later I thought about 15, but it still seemed too large. I believe that mostly numbers from 1 to 10 would be chosen, although I immediately started thinking about high numbers, so I have to account for the fact that someone else might think the same way. Therefore, I think it is better to choose a smaller number rather than a larger one, but definitely bigger than 9 to win in a situation where everyone chooses numbers from 1 to 10. I also thought about giving a negative number, but that would only be useful if the sum of the other four people exceeds 50 plus my negative number. I think that is unlikely (at least the first time playing). Much depends on who I play with and how many times I’ve already played with that person. I don’t know if the game allows negative numbers. On one hand, I lack that range of possible numbers, on the other hand, if it were stated, everyone would immediately realize it, which would reduce my advantage."
0,"I choose zero because I don’t know what the other four people know. Are they giving any number, or do they follow the same rules as me (i.e., their goal is to get the highest score)? The number zero guarantees that my result will not be negative. In any other case, I could get a negative result. The zero result places me almost in the middle of the ranking (there are equal numbers of positive and negative numbers)."
15,"If the number is chosen in a specific order, depending on my position I would have to estimate what the others would give and take into account what has already been chosen. However, if all participants choose numbers simultaneously, I would choose 15, because if the final result is positive, I would definitely get a fairly large score, which would allow me to win. If the result were negative, multiplying by my number would make me one of the participants not ending in the last places."
5,"Assuming that everyone chooses the same number, 5 gives the highest result (125)"
1,"I thought it would be safest to give a small number to increase the chance that the sum S drops to zero or below, which would result in a loss of points for others, or even a negative result for me, maximizing my relative position."
8,Balance.
10,"If everyone gives 10, the result will be 0, which gives a tie. If everyone gives more than 10, I multiply the negative S by the smallest negative number, so I end up with the highest score. If everyone gives less than 10, I have the largest multiplier. If results are mixed, everyone has equally small chances. I assume everyone will aim for numbers below 10 to avoid negative S."
9,"In general, people usually think of 7 first, so I will give 9 because 50 - 4*7 = 32; 32 - 9 = 23; 23*9 > 23*7. That’s basically it."
9,"9 is the largest possible multiplier. Although a higher result could be achieved with smaller x (so larger S), I assume I do not know the numbers of other players."
8,"Depending on the participants we play with, this number should vary. An unfamiliar person might choose 10 or more, which would lead to a negative unknown S. Choosing 8 in case S = -1 gives the smallest possible result."
10,"I put all the data and variables into Desmos, but there were too many variables. I assumed all other players would choose the same number, and it turned out I would always get the highest score by giving 10."
23,"I checked a few numbers in my head and noticed that after 23, the result stops increasing. However, I didn’t spend much time on this problem, so I’m not sure if the outcome is correct."
4,"I wrote the function formula, and then I plotted it."
-1,"I guess the other participants might choose numbers whose sum significantly exceeds 50 because they would want to maximize points. If that happens, being the only one with a negative number x, I would have a positive result. If the others think the same way, then having a number close to zero like -1 would also give me the highest score, because -1 * positive S is greater than -10 * S."
-1,"I guess that each person will give more than 10, and I hope the sum after subtraction will be negative. Then I would be the only one with a positive number."
25,"The statistical distribution is around 0, so S ≈ 50 - 0 - 25, and no one wants to give a number with a high absolute value because statistically it would lose. So deviations are small, and the result is usually positive. But if I gave a number closer to 50, there would be a higher chance that S becomes negative. If I gave a number closer to 0, someone else might give a larger x, resulting in a higher x*S for S > 0."
0,"We cannot be sure of the sign of our result, so we want to guarantee non-negativity, which is why we take 0."
