number,reason
-2.0,"Jeśli suma spadnie poniżej zera to mój wynik jest dodatni. Nie chcę dawać zbyt ujemnej liczby ponieważ może ona spowodować dodatnią sumę ale chcę potencjalnie wygrać z wyborem -1. Alternatywą byłoby coś z przedziału dodatniego ale jeśli inni zawodnicy też maksymalizują wynik to raczej skłonią się ku większym liczbom (aby wynik był wyższy), co może łatwo spowodować ujemną sumę. Wybranie niskiej liczby, aby utrzymać wyższą sumę może dać niższy wynik niż inni gracze. Liczba ujemna może nie być aż tak brana pod uwagę (chociaż może się mylę)."
-1.0,"Jest bardzo duża szansa, że suma liczb podanych przez pozostałe 4 osoby będzie większa niż 50. Wtedy podanie dodatniej liczby pozostawi wynik ujemny. Można by było kombinować z dobraniem tej liczby ujemnej ale nie mamy informacji o rozkładzie albo czy inne osoby też grają optymalnie."
5.0,"Każdy gracz może załatwić pozostałych dając dużą liczbę, z czym nic nie da się zrobić. (jeżeli tego się spodziewamy to dajemy 0, bo to zmaksymalizuje nasz wynik.) Zakładając, że każdy gracz gra optymalnie, i nie posiada informacji o pozostałych, to każdy dotrze do tej samej optymalnej wartości. Zakładając to dochodzimy do maximum funkcji x(50-5x), czyli x=5."
10.0,"Liczba 10 daje szansę na maksymalny wynik, oczywiście przy założeniu, że wszyscy pozostali nie zrobią tego samego"
5.0,tak mi wyszlo po wyliczeniu rownowagi nasha i zalozeniu ze wszyscy tez jej uzywaja.
8.0,"Wydaje mi się, że to taka nie za duża (żeby S nie było ujemne) i nie za mała liczba (żeby S było pomnożone jak najwięcej razy)."
12.0,"Liczę na to, że pozostali uczestnicy podadzą liczby z bezpiecznego przedziału 6 - 9"
8.0,"Załóżmy, że każda osoba wybiera strategię losującą odpowiedź o EV (Wartości oczekiwanej) równej x. Bez straty ogólności, jeżeli ktoś nie losuje to można założyć że też losuje (z szansą 1 dla danej liczby). Wówczas dla każdego gracza wynik to evS * x = (50-5x)*x. Co więcej, jeżeli evS>x, to każdy gracz będzie skłonny zwiększyć swoją liczbę - nawet, jeżeli zakładając, że po zwiększeniu innych graczy wynik spadnie, a po tylko i wyłącznie własnym zwiększeniu wynik nie spadnie, optymalnie jest zwiększyć - tak jak w ""dylemacie więźnia"". Analogicznie dla evS<x. Jedyną ""stabilną"" sytuacją jest więc evS=x, które jest jedyną równowagą Nasha - i jedyną sytuacją, gdzie gracze zdecydują się skończyć zmieniać wyniki. W innej sytuacji x będzie oscylować wokół evS=x. Właściwy x można więc obliczyć: evS=x, (50-5x)=x, 50-5x=x, 50=6x, x=50/6 = 8+2/6=8+1/3. Optymalne jest więc wybrać dowolne losowanie, które ma EV = 8+1/3, ja decyduję się wybrać losową liczbe z ciągu (9, 8, 8), zakładając, że inni gracze grają optymalnie (Jest to serwer MIKO więc mogę to założyć). Wylosowałem liczbę 8."
1.0,"Myślę, że prawdopobne jest, że w gronie 5 osób znajdą się takie, które podadzą dość duże liczby, przez co S będzie ujemne"
-1.0,daje liczbę ujemną i liczę na to że inne osoby dadzą za duże liczby typu 20 15 10 10 co spowoduje że S będzie ujemne a co za tym idzie tylko mój iloraz x×S będzie dodatni
1.0,"Jesli ja i pozostale osoby wybierzemy 1, wynik koncowy bedzie najblizszy liczbie wyjsciowej (przy zalozeniu, ze wybieramy liczby calkowite)."
-1.0,"Jeśli reszta graczy poda liczby, których suma przekroczy 51, oraz nikt nie da mniej niż -1 to jako jedyni będziemy mieli dodatni wynik. Zmniejszenie x_1 do np. -100 poskutkuje zwiększeniem minimalnej sumy reszty liczb do 150, co jest mniej prawdopodobne do przekroczenia."
-2.0,"Moim zdaniem osoby chcące zmaksymalizować swój wynik podadzą jak największy wynik, co przełoży się na ostatecznie ujemną różnicę. W tym przypadku najbardziej opłacalną opcją będzie wybranie ujemnej liczby bo pomnożenie ujemnego wyniku z moją ujemną liczbą, da mi największy wynik."
1.0,"Uznałem, że najbezpieczniej będzie podać małą liczbę tak aby mieć większą szansę na to że liczba S spadnie do zera lub mniej co by skutkowało stratą punktów, lub wyjściem na minus"
-1.0,"pewnie ci inni ludzie dadza dużą liczbę, żeby wygrać. strzelam ze zejdzie ona poniżej zera. wtedy mój mnożnik będzie np -1*-10. przez to ja dając najmniejszą liczbę na minusie będę mieć więcej niżeli ktokolwiek kto dał liczbę dodatnia. gorzej jeżeli dadzą małe liczy"
0.0,dodatnie i ujemne liczby są nieprzewidywalne i zależą od wyborów pozostałych uczestników
20.0,Zakładam że reszta może dać liczbe mniejszą od mojej
5.0,Domyślam się że każdy rzuci się na jak największe liczby chcąc zdobyć jak największy wynik. Liczba S może osiągnąć wartość poniżej 0. To może być niebezpieczne. Jeżeli jest pięciu graczy 50:5=10 celowałbym w liczbę od 0-10. Oczywiście w pierwszej rundzie trudno przewidzieć zachowanie przeciwników.
0.0,Nie możemy być pewni znaku jaki będzie miał nasz wynik więc chcemy zagwarantować nieujemnosc czyli bierzemy 0
25.0,"Skoro 50 jest progiem od którego odejmujemy liczby, a następnie mnożymy wynik przez wskazaną liczbę i chcemy uzyskać jak największy wynik, to aby osiągnąć ten cel nie możemy przekroczyć połowy wskazanej liczby 50
"
10.0,"troche nie chce mi sie tego rozpisywac ale no moja liczba musi byc najwieksza, jak S bedzie ujemne to niefajnie, wiec chce aby bylo dodatnie ale tez bezpiecznie zeby bylo. jak ktos poda liczbe <=9 to prawdopobioienstwo ze S ujemne maleje, a ja mam wieksza liczbne wiec git, a jak >=11 to prawdopodobientwo ze S ujemne rosnie, wiec ja bym wygral"
0.0,"Wynik ""0"" jest lepszy niż jakikolwiek ujemny wynik, jeśli inni wezmą duże liczby, tak że S<0."
5.0,Jeśli wszyscy gracze zrobili by ta strategie to wynik byłby największy (zakładając że liczby mają być od 0 do 50)
8.0,"Nie za dużo odejmuje, ale jak mnożysz, to wtedy jest dużo na +"
-1.0,Jesli ludzie sa odpowiednio chciwi (a są) to S wyjdzie ujemne więc wtedy wynik dodatni
-1.0,"Zauważmy, że jak suma liczb innych osób przekroczy 50, to S zejdzie na ujemne. Wtedy pomnożenie mojej liczby przez S da wynik dodatni. Liczę, że nikt nie pomyśli poza pudełkiem oraz każdy pójdzie na chciwość z wielkością swojej liczby."
10.0,Duzy mnoznik i w miare malo zmniejszona od 5
15.0,"Wziąłem pod uwagę tylko sytuacje, gdzie mam szansę na najwyższy wynik(średni wybór przeciwników 1-8). Myślę, że przeciwnicy nie mają tendencji do wybierania ""1"", więc średni najlepszy wybór to będzie 15."
14.0,"jest to liczba na tyle mala, ze różnica nie bedzie ujemna, a iloczyn bedzie duży"
10.0,"Zakładam, że liczby wszystkich uczestników będą w okolicach 10, bo każdy będzie zakładał, że przy takich wartościach zbliżymy się do zera lub osiągniemy wartości ujemne. Jeśli tak się stanie, nikt nie osiągnie wyniku wyższego. Jeśli wszyscy przekroczą 10, będę miał najlepszy wynik. "
5.0,"Założyłem, że wszyscy gracze są racjonalni i mają ten sam cel, więc każdy wybierze tę samą liczbę."
25.0,"statystyczny rozkład jest ~0, więc S~=50-0-25, a nikomu się nie opłąca dawać liczby o dużym module be statystycznie przegra więc odchylenia będą małe, więc zwykle powinna być dodatnie, ale gdybym dał liczbę bliżej 50 to byłaby większa szansa że S będzie ujemne, a gdybym dał liczbę bliżej 0 to byłaby większa szansa, że ktoś dał większe x, więc miał większe xS przy S>0"
15.0,"Jeśli podawanie liczby odbywa się w jakiejś określonej kolejności to w zależności w którym momencie bym się znajdował musiałbym oszacować co reszta uczestników by podała, i wziąć pod uwagę to co zostało podane, natomiast, jeśli wszyscy uczestnicy podają liczbę jednoczenie to wybrałbym liczbę 15, ponieważ jeśli wynik końcowy zostałby dodatni otrzymałbym na pewno dosyć spory wynik co pozwoliłoby mi wygrać, natomiast jeśli wynik byłby na minusie, po przemnożeniu przez moją liczbę byłby jednym z tych który nie spowodował by zajęcia jednego z ostatnich miejsc. "
4.0,"Napisałam wzór funkcji, a potem ją narysowałam"
10.0,"Włożyłem do desmosa wszystkie dane i zmienne, lecz było za dużo zmiennych i założyłem że wszystkie pozostałe osoby dadzą tą samą liczbę i wyszło że zawsze będę mieć najwyższą liczbę dając 10
"
8.33,Bo maksymalizuje iloczyn
-5.0,"Najpierw chciałam podać jak największą liczbę, ale uświadomiłam sobie, że wynik będzie na minusie. W ogóle, minusowy wynik to wg mnie największy problem w tej grze. Dlatego dałam -5. Zakładam, że 5 podanych liczb może w sumie dać liczbę większą od 50, a więc wynik będzie na minusie. Jeśli pomnożymy to przez inną ujemną liczbę, wynik będzie dodatni. Nie dałam mniej niż -5, żeby nie przesadzić (bo suma mogłaby dać wynik dodatni i wtedy przegrywam). Zakłam też, że inni ""automatycznie"" dadzą liczby dodatnie (nikt w pierwszej chwili nie myśli o ujemnych w takich grach)."
5.0,"Zakładam, że inne osoby będą chciały współpracować w celu uzyskania jak najwyższego, sprawiedliwego wyniku i wszyscy odpowiedzą 5"
6.0,"Matematycznie najbardziej opłaca się wszystkim wybrać 5 (maksimum funkcji y=(50-5x)*x), ale ponieważ 50/5=10 i czuję że inni mogą dać liczby bliżej 10, to ja też swoją delikatnie podnoszę ;)"
5.0,Maksymalizuje wynik przy racjonalnych przeciwnikach
8.0,Najbliżej równowagi
9.0,"Mój wynik to x1*(50-P-x1), gdzie P to suma wyborów pozostałych osób. Jest to funkcja kwadratowa, która ma maksimum dla x1=(50-P)/2. Zakładając, że pozostali gracze też to wyliczyli x1=(50-4x1)/2, czyli x1=25/3=8,(3). Czyli, jeżeli liczba ma być całkowita to najbliższa jest 8. Dlatego wybrałam 9, bo jeżeli pozostali wybrali 8, to mój wynik wynosi 81."
9.0,"jak wynik odejmowania bedzie ujemne to lepiej miec liczbe najmniejsza, a jak bedzie dodatnie to najwieksza. ale tez 50/5=10, wiec optymalna liczba od 5 do 14"
7.0,Zakladajajac ze wszystkie wartosci sa te same mozemy zauwazyc ze najbardziej optymalne byloby 5. majac nadzieje ze przeciwnicy rowniez to zauwazyli uznaje ze wynik bedzie wystarczajaco duzy zeby pomnozenie go przez 7 dawalo liczbe wieksza niz pomnozenie go przez 5 i dodanie 10
5.0,"Optymistycznie, choć być może złudnie zakładam, że pozostałe 4 osoby także wybiorą liczbę 5. Gdy wszystkie osoby wybiorą tą samą liczbę, S = 50-5x i wynik = x(50-5x). x(50-5x) przyjmuje wartość największą dla x = 5."
-1e-05,"the optimal choice boils down to estimating if 50-x₂-...-x₅ > 0 or not I imagine most participants will go with the intuitive choice of picking something between 5-10, let's say 3 of them. If all persons were like this (average), the best choice would be somewhere in the upper range of this, e.g. 7-10 But then there is a good chance of encountering someone bullish that selects more than 10 And if this makes 50-x₂-...-x₅ < 0, my best strategy is to go with an extremely small number like -0.00001 to flip my score positive (or -1 if only integers are allowed). So I guess I would try to read who my co-participants are, and if - they are mostly girls or look calm & reasonable, I would aim for 9 - if all guys and some of them is suspisious, I would go with -0.00001 If I cannot read the backgrounds and I have to play many times with random people, I would choose something in the middle, like 5 (if people all people are good I'm okay to take a mediocre place, but most often there will likely be a bully in which case SUM < 0 and the one selecting the lowest coeff wins)"
10.0,"Maksymalny wynik uzyskamy jeżeli każdy poda 5 ale pewnie tak nie będzie. Jeżeli suma podanych przez nas liczb przekroczy 50 to wygrywa ten który podał najmniejszą liczbę, ale żeby tak było to przynajmniej jedna liczba musi być większa niż 10, więc napewno nie będę ostatni. Jeżeli suma podanych przez nas liczb nie przekroczy 50 to wygrywa ten który podał największą liczbę, ale żeby tak było to przynajmniej jedna z podanych liczb musi być mniejsza niż 10, zatem napewno nie będę ostatni. Jeżeli każdy poda 10 to będzie remis czyli z tego co rozumiem każdy wygrywa"
0.0,"Przy założeniu że wszyscy uczestnicy są w pełni racjonalni i sami mają te same założenia co do konkurentów stawianie na 9 ewentualnie 8 było by rozsądną opcją jednak takowego założenia nie ma i z racji nie zdefiniowania społecznej charakterystyki gry przewiduję konkurowanie z innymi wypełniającymi ankietę, a to oznacza standardy dalekie od pełnej racjonalności w grę wchodzą emocje powierzchowność troling, a nawet scenariż w którym jestem socjopata który wypełni ankietę tysiące razy z multikont wpisując 2137 ""just to prove the point"" brak górnego limitu i wypadkowa zachowań przeciętnego internauty sprawiają że zablokowanie wyniku na 0 by nie spaść z balansem poniżej. Oczywiście nie jest to strategia na wygraną bo trafi się szczęściarz któremu wylosują się odpowiedni partnerzy (chyba że jestem socjopatą to zadbam spamem by się nie trafili) jednak przy wyciąganiu średniej z wielokrotnych testów obstawiam że to zera zostaną jedynymi na powierzchni gdy cała reszta zanurkuje w długu spowodowanym niezrozumieniem pytania lub kotem na klawiaturze."
0.0,"Ponieważ zakładam że wszyscy podadzą wysokie liczby gdzie wartosc odejmowania wyjdzie ujemna, co sprawia ze wyniki iloczynów wyjdą też ujemne a moja wartość wyniesie 0."
10.0,Statystycznie będzie git
-3.0,"Jeśli suma wszystkich osób będzie większa od 50, to S będzie ujemne, więc wynik będzie dla mnie wtedy nie mniejszy niż 150."
23.0,Sprawdziłem w głowie pare liczb i zauważyłem że po 23 wynik już przestaje rosnąć jednak nie spędziłem dużo czasu nad zadaniem więc nie mam pewności czy wynik jest poprawny 
9.0,"Jest na tyle mała, że raczej nie zejdziemy do wyniku mniejszego niż 1 (zakładając że inni też nie dadzą zbyt dużych liczb) a jednocześnie nie jest najmniejsza więc końcowy iloczyn będzie większy"
-3.0,"Podejrzewam, że inne osoby będą zuchwałe i podadzą duże liczby dodatnie, żeby osiągnąć wynik wyższy niż inni. W ten sposób łączna różnica łatwo ""zejdzie na minus"" i wtedy tylko pomnożenie jej przez drugą liczbę ujemną da dodatni, być może wysoki wynik."
10.0,"Zakładając że jak każdy wybierze 10, to nikt nic nie dostanie. Jeśli wybiorę mnie to mogę nie zyskać, jeśli więcej to mogę stracić (reszta 10). Rozumuję że danie poniżej 10 jest nie optymalne. Danie 10 jest pewnie najlepszą strategią nie znając wyboru innych."
5.0,"Zakładając, że wszyscy gracze grają uczciwie i logicznie, taka liczba pozwoli na osiągnięcie przez każdego z graczy najwyższego wyniku"
5.0,ahhh piekny umysl i Nash...
7.0,"bo ludzie są zachłanni, więc ktoś weźmie prawdopodobnie dużą liczbę licząc, że inni zfoldują, rozsądni podadzą ~10, więc prawdopodobnie będzie S ujemne, więc daję stosunkowo małą liczbę by mało wyjść na minus, ale na tyle dużą, by S było faktycznie ujemne"
1.0,"Przypuszczam, że pozostałe 4 osoby będą chciały podać jak najwyższe liczby, żeby potem mieć wyższy czynnik w mnożeniu. Czyli istnieje ryzyko, że wynik odejmowania będzie mniejszy niż zero. Wtedy mnożąc go przez 1 wynik będzie najwyższy. Ps. Myślę, że gdyby był podany przedział wyboru liczby to decyzja byłaby łatwiejsza, ale i ryzyko mniejsze, więc mniej adrenaliny ;)"
7.0,"Coś o strategii remisowej gdy kazdy daje 10, rezerwa na osobę która da 20 i bez proboemu gdy wszyscy dadzą cyfry, nie ma jednoznacznegk wzorka bo zależy z kim grasz"
9.0,ponieważ wyjdzie najwyższy wynik jeśli każdy z 5 osób poda 5
9.0,"Zakładam że każdy zostanie w zakresie od 1-10 aby nie sprawic że liczba będzie ujemna, raczej inni (jeśli też będą chcieli maksymalizować wynik) wybiorą 8 albo 9, może niektórzy 10. Jeśli trafi się jakiś wariat który wybierze np 100 to i tak nie ma znaczenia bo jakaz jest różnica między -400 a -450 (oczywiście 50 ale w procentach to mała różnica), jeśli wariat się nie trafi i nie zejdziemy na minus to liczba jaką wybieram ma znaczenie. Założenie że wartością średnio wybierana przez ludzi będzie 5 jest nie mądre ponieważ inni też będą chcieli maksymalizować wynik, wiec wybiorą liczbę z zakresu 8-10. Moje rozważanie jest pomiędzy 8 a 9, biorę większe ryzyko (9), bo nie chce mi się myśleć o nie liczbach naturalnych."
-5.0,"Zakładam, że spośród dużej ilości osób biorących udział w badaniu, jest spora szansa na to że ludzie powpisują jakiekolwiek liczby dodatnie albo jakieś memiczne liczby pokroju 2137, 420 itp. i przez to wynik działania odejmowania będzie ujemny. Wobec tego po mnożeniu mój wynik powinien wyjść dodatni."
-5.0,"Taką mam ideę że suma liczb pozostałych ludzi przekroczy 50, a nawet to 55, i wtedy - razy - daje + czyli free win"
8.0,"im większą wybiorę liczbę, tym większy mnożnik, ale nie biorę 9, żeby nie być zbyt chciwym"
0.0,"Daję zero, bo nie wiem co wiedzą pozostałe cztery osoby. Czy one podają dowolną liczbę, czy też mają takie same reguły jak ja (czyli ich zadaniem jest osiągnięcie jak najwyższego wyniku). Liczba zero gwarantuje, że mój wynik nie będzie ujemny. W każdym innym przypadku mogę otrzymać wynik ujemny. Wynik zero plasuje mnie niemal w połowie stawki (liczb ujemnych i dodatnich jest tyle samo)."
1.0,Jeżeli S będzie ujemne będę miał najmnjej ujemną liczbę
-2.0,"Większość osób poda dosyć wysoką liczbę zapewne większą niż 12, lub chociaż jedna osoba da bardzo wysoką, S będzie na minusie przez co tylko x minusowe będą miały wynik na plusie, aby uniknąć że ktoś inny poda -1 wpisuje -2."
5.0,"Jeżeli każdy z uczestników myśli racjonalnie i chce zmaksymalizować swój wynik, sytuacja jest symetryczna. Wtedy sensowne jest założenie, że pozostali wybiorą tę samą liczbę co ja. Mój wynik: x \cdot (50 - 5x) To jest parabola skierowana w dół. Maksimum wypada dokładnie w wierzchołku: x = 5 Sprawdzenie: • suma liczb: 5 \times 5 = 25 • S = 50 - 25 = 25 • mój wynik: 5 \times 25 = 125 Każda próba „cwaniakowania” (np. 8, 10 itd.) obniża wynik, jeśli inni też myślą logicznie."
8.0,"jest to liczba w miare środku bezpiecznego gdzie gracze nawet po zagraniu np.10 czy 11 zabiorą sobie więcej niż mi, a ci co bezpiecznie zagraja 1 czy 2 nie przebują mojego progu punktowego"
